#OTU ID	CL1	CL4	HEV15S51	HEV16S45	HEV17S39	HEV18S46	HEV20S27	HEV87S30	HEV88S31	HEV90S12	HEV91S13	HEV92S14	HEV93S15	HEV94S16	HEV95S17	HEV96S18	HEV97S19	HEV100S22	HEV101S23	HEV102S1	HEV103S2	HEV104S3	HEV105S4	HEV106S5	HEV107S6	HEV21S52	HEV22S53	HEV23S48	HEV24S41	HEV25S42	HEV67S56	HEV68S57	HEV70S58	HEV71S59	HEV74S60	HEV89S32	HEV98S20	HEV99S21	HEV07S47	NEGS11	HEV108S7	HEV109S8	HEV10S37	HEV110S9	HEV111S10	HEV11S38	HEV12S44	HEV13S49	HEV14S50	HEV26S43	HEV27S29	HEV29S28	HEV65S54	HEV66S55	HEV76S35	HEV79S33	HEV81S36	HEV82S40	HEV83S34	QC1S26
Zotu86	0	0	0	0	9	0	0	1	0	0	1	0	0	4	0	0	14	1	1	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	98	0	0	6	0	4	5	6	0	0	61	0	0	0	0	0	0	0	0
Zotu33	0	0	0	0	1	0	0	0	0	0	0	0	0	29	1	0	11	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	1	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
Zotu80	0	0	0	0	3	0	0	0	0	0	32	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	41	0	0	0	0	62	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu53	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	37	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	358	0	12	0	0	0	0	0	0	0	0	0	0	0
Zotu17	0	0	0	0	0	98	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	970	0	0	0
Zotu5	0	0	0	0	0	70	0	0	1	0	1	0	0	1	2	793	1	659	3	1	1	21196	0	2	1	0	0	0	0	0	0	0	22	0	0	0	3	1	0	0	54115	1	0	2	2	0	0	0	915	0	0	0	0	0	0	0	0	0	0	0
Zotu103	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu134	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu94	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu120	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	16	0	0	0	0	0	0	0	0	0
Zotu43	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu60	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0
Zotu168	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	543	0	9	213	2	6	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0
Zotu155	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu47	0	0	0	0	0	0	0	3	0	0	103	0	1	12	32	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	76	6	0	0	0	209	0	0	4	0	0	0	6	0	1	0	0	0	0	0	0	0	101	0
Zotu28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu12	0	0	0	0	0	0	0	0	2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu76	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0
Zotu156	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu192	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu105	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu153	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu113	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
Zotu184	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu75	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Zotu131	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu116	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu77	0	0	0	0	0	0	0	0	0	1	9	0	12	75	8	8	0	0	0	10	9	9	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu121	0	0	0	0	0	0	0	0	0	2	3	0	10	18	4	15	0	0	0	2	3	5	8	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	49	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu181	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	6	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6	0	0	0	0	0	0	0	0	0	1	0	13441	26	1	333	1044	2	6	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Zotu119	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu83	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu123	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu167	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu24	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu44	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	9	0	2	2	0	0	36	0	0	0	0	237	0	1	0	2	1	0	2	0	0	0	0	4	0	0	0	0	0	0	7	0	0	2	0	0	0	2	1	0	5	0
Zotu140	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13	0	0	0	0	0	0	0	0	0	0	0	2115	0	1	0	0	0	0	0	0	0	0	72	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0
Zotu191	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	16	60	1	1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	98	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
Zotu41	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	20	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
