ASV,ID,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,BLAST ID,blast_lev,blast_k,blast_p,blast_c,blast_o
ASV_187,Chromadorea,Subclass,Animalia,Nematoda,,,,,,,,,,,
ASV_189,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_19,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,
ASV_194,Hemiptera,Order,Animalia,Arthropoda,Insecta,Hemiptera,,,,unclassified Hemiptera,,,,,
ASV_197,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_20,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_201,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_208,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_21,Ectobiidae,Family,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,,,unclassified Ectobiidae,,,,,
ASV_213,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_22,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_23,Heteropoda venatoria,Species,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,Araneae,Order,Animalia,Arthropoda,Arachnida,Araneae
ASV_24,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_25,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_26,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_27,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_29,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_3,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_31,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_32,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_33,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,
ASV_34,Conoderus pallipes,Species,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,,,,,,
ASV_36,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_4,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,,,,,,
ASV_42,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_46,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_47,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_48,Diploptera punctata,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,,,,,,
ASV_5,Anisolabis,Genus,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,,,,,,,
ASV_50,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,,,,,,
ASV_52,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_53,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_59,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_6,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,
ASV_64,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_65,Scholastes lonchifer,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifer,,,,,,
ASV_67,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_68,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_76,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,
ASV_77,Orthoptera,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,,,,,,,
ASV_8,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_80,Ornebius novarae,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,
ASV_83,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_85,Acrididae,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,
ASV_89,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_9,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
ASV_93,Periplaneta,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,
ASV_94,Neoptera,Infraclass,Animalia,Arthropoda,Insecta,,,,,,,,,,
ASV_95,Blattodea,Order,Animalia,Arthropoda,Insecta,Blattodea,,,,,,,,,
ASV_96,Limoniidae,Family,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,,unclassified Limoniidae,,,,,
ASV_97,Pantala flavescens,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,
ASV_98,Sparassidae,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,
