ASV,ID,Category,Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,BLAST_ID,BLAST_Category,BLAST_Level,BLAST_Kingdom,BLAST_Phylum,BLAST_Class,BLAST_Order,BLAST_Family,BLAST_Genus,BLAST_Species
Zotu9,Sparassidae,predator,Family,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,,,,,,,,,,,
Zotu7,Acrididae,prey,Family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,,,,,,,,,,,
Zotu126,Anchiphiloscia pilosa,prey,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Anchiphiloscia,Anchiphiloscia pilosa,,,,,,,,,,
Zotu6,Anisolabis,prey,Genus,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,,,,,,,,,,,
Zotu103,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu120,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu134,Pycnoscelus indicus,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus indicus,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu14,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu149,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu162,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu17,Blaberidae,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,,,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu174,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu22,Balta notulata,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Balta,Balta notulata,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu63,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu94,Pycnoscelus surinamensis,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Pycnoscelus,Pycnoscelus surinamensis,Blattodea,prey,Order,Animalia,Arthropoda,Insecta,Blattodea,,,
Zotu177,Buthus mariefranceae,prey,Species,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Buthus mariefranceae,,,,,,,,,,
Zotu23,Conoderus pallipes,prey,Species,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus,Conoderus pallipes,,,,,,,,,,
Zotu43,Diploptera punctata,prey,Species,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,,,,,,,,,,
Zotu20,Ectobiidae,prey,Family,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,,,unclassified Ectobiidae,,,,,,,,,
Zotu13,Hasarius adansoni,prey,Species,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,,,,,,,,,,
Zotu150,Fungi,non-diet,,,,,,,,,Hemiptera sp. BIOUG03439-H02,,,,,,,,,
Zotu121,Isometrus maculatus,prey,Species,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Isometrus,Isometrus maculatus,,,,,,,,,,
Zotu147,Isometrus maculatus,prey,Species,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Isometrus,Isometrus maculatus,,,,,,,,,,
Zotu55,Lepidodactylus,prey,Genus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,,,,,,,,,,,
Zotu87,Limoniidae,prey,Family,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,,,unclassified Limoniidae,,,,,,,,,
Zotu188,Littorophiloscia bifasciata,prey,Species,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Littorophiloscia,Littorophiloscia bifasciata,,,,,,,,,,
Zotu117,Culicidae,prey,Family,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,,,prey,Suborder,Animalia,Arthropoda,Insecta,Diptera,,,
Zotu127,Bombyliidae,prey,Family,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,,,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu159,Anisolabis maritima,prey,Family,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Anisolabis,Anisolabis maritima,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu25,Stigmella freyella,prey,Family,Animalia,Arthropoda,Insecta,Lepidoptera,Neptuculidae,Stigmella,Stigmella freyella,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu28,Stigmella freyella,prey,Family,Animalia,Arthropoda,Insecta,Lepidoptera,Neptuculidae,Stigmella,Stigmella freyella,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu51,Stigmella freyella,prey,Family,Animalia,Arthropoda,Insecta,Lepidoptera,Neptuculidae,Stigmella,Stigmella freyella,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu52,Stigmella freyella,prey,Family,Animalia,Arthropoda,Insecta,Lepidoptera,Neptuculidae,Stigmella,Stigmella freyella,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu60,Oecophora,prey,Family,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Oecophora,,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu74,Stigmella freyella,prey,Family,Animalia,Arthropoda,Insecta,Lepidoptera,Neptuculidae,Stigmella,Stigmella freyella,Neoptera,prey,Subclass,Animalia,Arthropoda,Insecta,,,,
Zotu185,Ornebius novarae,prey,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,,,,,
Zotu81,Ornebius novarae,prey,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,,,,,
Zotu91,Ornebius novarae,prey,Species,Animalia,Arthropoda,Insecta,Orthoptera,Mogoplistidae,Ornebius,Ornebius novarae,,,,,,,,,,
Zotu98,Orthocladiinae,prey,Family,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,Arthropoda,prey,Phylum,Animalia,Arthropoda,,,,,,
Zotu41,Tettigoniidae,prey,Family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,Orthoptera,prey,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,,
Zotu50,Tettigoniidae,prey,Family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,Orthoptera,prey,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,,
Zotu88,Tettigoniidae,prey,Family,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,Orthoptera,prey,Order,Animalia,Arthropoda,Insecta,Orthoptera,,,,
Zotu116,Pantala flavescens,prey,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,,,,
Zotu161,Pantala flavescens,prey,Species,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,,,,,,,,,,
Zotu104,Periplaneta,prey,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,,,,,
Zotu11,Periplaneta,prey,Genus,Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,,,,,,,,,,,
Zotu83,Pholcus guadarfia,prey,Species,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,Pholcus guadarfia,Araneomorphae,prey,Suborder,Animalia,Arthropoda,Arachnida,Araneae,,,
Zotu5,Scholastes lonchifer,prey,Species,Animalia,Arthropoda,Insecta,Diptera,Platystomatidae,Scholastes,Scholastes lonchifera,,,,,,,,,,
Zotu34,Tygarrup javanicus,prey,Species,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,,,,
Zotu42,Tygarrup javanicus,prey,Species,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,,,,
Zotu69,Tygarrup javanicus,prey,Species,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Mecistocephalidae,Tygarrup,Tygarrup javanicus,,,,,,,,,,
Zotu68,Xiphydria,prey,Genus,Animalia,Arthropoda,Insecta,Hymenoptera,Xiphydriidae,Xiphydria,,Xiphydria sp. ZJUH 2008002,,,,,,,,,
