"","sample","Family_ncbi","Order_ncbi","reads","Method","Island","Year","ID","Date.Collected","Size","Extract..Date","Sterilized","Source"
"61","HEV17","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"62","HEV17","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"63","HEV17","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/7/17",21,"3/14/18","NS","LAB"
"64","HEV18","Acrididae","Orthoptera",37,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"65","HEV18","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"66","HEV18","Blaberidae","Blattodea",147,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"67","HEV18","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"68","HEV18","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"69","HEV18","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"70","HEV18","Platystomatidae","Diptera",40,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",21.1,"3/14/18","NS","LAB"
"71","HEV20","Acrididae","Orthoptera",23,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"72","HEV20","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"73","HEV20","Blaberidae","Blattodea",195,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"74","HEV20","Blattidae","Blattodea",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"75","HEV20","Elateridae","Coleoptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"76","HEV20","Gekkonidae","Squamata",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"77","HEV20","Platystomatidae","Diptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/16/17",21.4,"3/14/18","NS","LAB"
"78","HEV21","Acrididae","Orthoptera",327,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"79","HEV21","Anisolabididae","Dermaptera",0,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
"80","HEV21","Blaberidae","Blattodea",55,"Hand","Cooper",2017,"Heteropoda venatoria","8/19/17",22.1,"3/14/18","NS","LAB"
